question,answers
Known throughout the world as 'Dame Edna Everage' What was the comics real name?,Barry Humphries
Where in London would you find The National Portrait Gallery?,St. Martin's Place
Who was the 1987 World Darts Champion?,John Lowe
Which character was played by Audrey Hepburn in 'My Fair Lady'?,Eliza Doolittle
Who was the original presenter of University Challenge?,Bamber Gascoigne
For which taxi company did Danny DeVito work in 'Taxi'?,Sunshine Cab Co
The two best selling singles in 1964 in the UK were by the recently deceased singer Jim Reeves. What were the titles?,I Love You Because and I Won't Forget You
Did 'Eli Wallach' play the 'Good'; the 'Bad; or 'the 'Ugly' in the 1966 film?,The Ugly
Who was the hero of the old TV cop series Dragnet?,Sergeant Joe Friday
For which film did John Mills receive an Oscar?,Ryan's Daughter
Why and when was naturalist David Bellamy jailed in Australia?,In 1983 he was jailed for blockading the Australian Franklin River in a protest against a proposed dam
What everyday household item was invented by O A North in 1869?,Coat hook
Which popular pub name comes from the title of John Manners?,The Marquis of Granby
Where was Patsy Gallant travelling to and from in her seventies hit song?,From New York to LA
Who played Oz in Auf Wiedersehen Pet?,Jimmy Nail
Tony Blair has two middle names. What are they?,Charles Lynton
What is the correct name for 'Petticoat Lane' in London?,Middlesex Street
'Poetry In Motion' was the only No. 1 hit for which singer?,Johnny Tillotson
The Wombles had two hits in 1974. The title of one is 'Banana Rock' what's the title of their other hit?,Minuetto Allegretto
On which London street would you find the famous 'Harrods' store?,Brompton Road
And in which gardens will you find the Albert Memorial?,Kensington Gardens
Madame Tussaud's and it's neighbour the London Planetarium are to be found on which London Street?,Marylebone Road
Who/what was David Ben Gurion?,Zionist leader
These Boots are Made for Walkin?,1966 Nancy Sinatra
Name the author who created Hannibal Lecter?,Thomas Harris
"What product uses the advertising slogan ""I liked it so much, I bought the company!""?",Remington electric shaver
"For a point each, name the characters in a bottle of Flintstones Chewable Vitamins.","Fred Flintstone, Wilma Flintstone, Pebbles Flintstone, Barney Rubble, Betty Rubble, Bamm-Bamm Rubble, Dino, and The Great Gazoo"
What are the 6 official documental languages of the UN?,"Arabic, Chinese, English, French, Russian and Spanish"
"Name the artist and song title: Cleaned a lot of plates in Memphis, Pumped a lot of pain down in New Orleans, But I never saw the good side of the city, Until I hitched a ride on a river boat queen.",Proud Mary by Creedence Clearwater Revival
"According to the nursery rhyme, if Polly put the kettle on, who took it off?",Sukey
A flexible flyer is a type of what?,"steerable, wooden sled"
"Sonic, Aveo, Cruze, and Impala are all types of what?",Chevrolet cars
"The US Mint, being in a redesigning mood, has accounted the new design for what currency unit?",The Penny
"In the world of the theatre, does ‘stage left’ describe the audience’s left? Or the actor’s left?",Actor's left
The word “motel” is a portmanteau of what two words?,Motor and Hotel
What is the primary profession of Otto Mann on TV's The Simpsons?,School bus driver
"Having been published since 1927, what were the names of the two Hardy Boys",Frank and Joe
"What are the official languages of our neighbors to the north, Canada?",English and French
Today is Arbor day in the state of Washington. Arbor day originated in Nebraska in 1874 and is a holiday in which individuals and groups are encouraged to do what?,plant trees
"On the US flag, are the more red stripes? Or white stripes?",Red stripes
Where must a boxer stand when his opponent is knocked down?,Neutral corner
"An integral part of the Old West wagon train, what did the chuck wagon carry?",Food and cooking equipment
"April 21 1962 saw the opening of Century 21 Exposition, the first worlds fair held in the US since the start of WWII, right here in the Emerald City. What was the name of the Elvis Presley movie filmed during the 6 months of the fair?",It Happened at the World's Fair
What was the full character name of the movie star on TVs Gilligan's Island?,Ginger Grant
"According to the nursery rhyme, what did Peter Piper pick?",A peck of pickled peppers
"In most modern operating systems ctrl (or on a mac the mac key) x is cut, ctrl c is copy and ctrl z is undo. What is the letter for paste?",ctrl v
"According to the nursery rhyme, where did Peter Peter Pumpkin Eater put his wife?",In a pumpkin shell
"May 19, 1869 saw what two railroads meet at Promontory Summit, Utah, creating the first Transcontinental Railroad?",Union Pacific and Central Pacific
"The 2004 film “The Motorcycle Diaries” was a biopic about what asshat South American revolutionary, who was born on May 14, 1928?",Ernesto ‘Che’ Guevara
"In the world of dogs, hounds can be generally classified into two groups, based on the way they hunt. For a point each, name the groups.",Sighthounds and scenthounds
"According to Old West Legend (and a Bob Dylan song), who shot Billy the Kid?",Sheriff Pat Garret
"Offering service from Tacoma to Seattle and Seattle to Everett, what is the name of the train service offered by Sound Transit?",Sounder
"For a point each, name the countries surrounding the Federal Republic of Nigeria","Benin, Chad, Cameroon, and Niger"
What 2 spices come from the nutmeg tree?,Nutmeg and Mace
"Ruby, C, and Fortran are all examples of what?",Computer programming languages
"Running from June 15 to Oct 1859, what 2 countries faced off in the Pig War, in which a pig on San Juan island was the only casualty?",US and Britain
"Following a much televised low-speed chase down Interstate 405, OJ Simpson was arrested on June 17, 1994, in connection with the murder of what two people?",Nicole Brown Simpson and Ronald Goldman
"What does the DSM-IV define as: A. The predominant complaint is difficulty initiating or maintaining sleep, or nonrestorative sleep. B. The sleep disturbance causes clinically significant distress or impairment in social, occupational, or other important areas of functioning.     C. The sleep disturbance does not occur exclusively during the course of Narcolepsy, Breathing-Related Sleep Disorder, Circadian Rhythm Sleep Disorder, or a Parasomnia. D. The disturbance does not occur exclusively during the course of another mental disorder. E. The disturbance is not due to the direct physiological effects of a substance or a general medical condition.",Insomnia Disorder
How is the score of a forfeited baseball game reported?,9-0
Thursday marks the demise of the PAC-10 athletic conference and the birth of the PAC-12 when what two universities join the conference?,Utah and Colorado
"Often called one of the best known sentences in the English language, complete the second sentence of the Declaration of Independence: ""We hold these truths to be self-evident, that all men are created equal, that they are endowed by their Creator with"" what?","Certain unalienable Rights, that among these are Life, Liberty and the pursuit of Happiness."
"According to the proverb, the road to hell is what?",Paved with good intentions
"For a point each, name the 4 countries surrounding Rwanda","Uganda, Tanzania, Burundi and the Democratic Republic of the Congo."
"For a point each, name the 2 countries that share a border with the Republic of Ecuador.","Colombia, Peru"
Which golf club would be used to hit the ball the farthest? The 1 wood or the 5 wood?,1 wood
"For a point each, name the 2 countries surrounding the Oriental Republic of Uruguay.","Argentina, Brazil"
"What basic knitting stitch, the reverse of the knit, is formed by pulling a loop of the working yarn back through an existing stitch and then slipping that stitch off the needle?",Purl
"What influential show, which paved the way for the future of cooking shows on TV, was hosted by Julia Child?",The French Chef
What three titans of classical music are collectively known as the Three Bs?,"Bach, Beethoven, and Brahms"
"In what Hasbro game do teams of players try and guess specific words from one of 5 categories, based upon their partners drawing ability?",Pictionary
"Who was the pirate leader in the novel Treasure Island, by Robert Louis Stevenson?",Long John Silver
"According to the WWII propaganda poster, what might loose lips do?",Sink ships
"For a point each, name the 2 countries that share a physical border with the Republic of El Salvador.",Guatemala and Honduras
"For a point each, name the vaudeville and movie stars known as the Marx brothers","Chico, Harpo, Groucho, Gummo, and Zeppo"
"The highest scoring tiles, what two letters are worth 10 points each in a game of Scrabble?",Q and Z
"In the Brothers Grimm fairy tale Rumpelstiltskin, what did the title creature promise to do for the miller's daughter, in exchange for her first born?",Spin straw into gold
"Born in Weehawken, N.J. on August 19, 1947, who is the current music director of the Seattle Symphony?",Gerard Schwarz
"Jimmy Choo, Manolo Blahnik, and Christian Louboutin are all makers of what?",Women's shoes
"Connect Four, Battleship, Twister, Yahtzee, Hungry Hungry Hippos, and The Game of Life are all games produced by what US game company?",Milton Bradley
What are the names of Popeye's nephews?,"Pipeye, Pupeye, Poopeye, Peepeye"
"Dewey Decimal Classification, Universal Decimal Classification and Library of Congress Classification are three methods of coding and organizing what?",Library materials
What two dogs are cross bred to produce the Schnoodle?,Schnauzer and a poodle
"What SNL self-help parody, portrayed by Al Franken, is known for phrases such as “I’m good enough, I’m smart enough, and doggone it, people like me.” and “I learned what love is from my parents. Which is that you find that one-special person who was placed on the planet just for you, and then you put them through forty years of living hell.”?",Stuart Smalley
"In boxing, there are 4 primary punches. For a point each, name them.","jab, cross, hook, and uppercut"
"Sept 7, 1963 saw the opening of what professional Hall of Fame, when 17 individuals, including “Slinging” Sammy Baugh, Harold “Red” Grange, George Halas, Don Hutson, Earl “Curly” Lambeau, and Bronco Nagurski were inaugurated?",Pro Football
"This year was the first in its 45 year history that Jerry Lewis did not host the annual labor day telethon, which raises money for which charity (2.45 billion to date)?",Muscular Dystrophy Association
"Have raised over $1.46 billion to date, Jerry Lewis' annual Labor Day telethon raises money for what group?",Muscular Dystrophy Association
Complete the following quote from Shakespeare’s Romeo and Juliet: “What’s in a name? that which we call a rose/ By any other name would”?,Smell as sweet
"In the world of pari-mutuel betting, what is it called when the bettor must pick the 3 horses that finish first, second, and third in the exact order?",Trifecta
What was Little Miss Muffet eating when the spider came along?,Curds and Whey
"In ‘The Wizard of Oz’ books, what is the name of the Good Witch?",Glinda the Good Witch of the South
"What is the name for electronic toll collection system implemented by the WADOT for the Tacoma Narrows Bridge, SR-167, and the 520 floating bridge?",Good To Go!
